secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20201007,,C,2825000,511.3,534.2,0,135904095,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2850000,487.5,510.4,0,135904096,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2875000,463.9,486.8,0,135904097,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2900000,440.4,463.3,0,135904098,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2925000,417,439.9,0,135904099,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2950000,393.9,416.8,0,135904100,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2975000,370.9,393.8,0,135904101,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3000000,348.2,371.1,0,135904102,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3025000,325.6,348.5,0,135904103,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3050000,303.5,326.4,0,135904104,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3075000,281.6,304.5,0,135904105,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3100000,270.6,272.3,0,135904106,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3125000,249.5,251.2,0,135904107,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3150000,228.8,230.5,0,135904108,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3175000,208.6,210.4,0,135904109,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3200000,189,190.8,0,135904110,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3210000,181.3,183.1,0,135904111,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3220000,173.7,175.5,0,135904112,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3225000,170,171.8,0,135904113,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3230000,166.3,168,0,135904114,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3240000,158.9,160.7,0,135904115,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3250000,151.7,153.5,0,135904116,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3260000,144.6,146.3,0,135904117,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3270000,137.6,139.4,0,135904118,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3275000,134.2,135.9,0,135904119,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3280000,130.7,132.5,0,135904120,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3290000,124,125.8,0,135904121,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3300000,117.5,119.2,0,135904122,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3310000,111,112.8,0,135904123,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3320000,104.7,106.5,0,135904124,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3325000,101.7,103.4,0,135904125,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3330000,98.6,100.3,0,135904126,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3340000,92.6,94.4,0,135904127,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3350000,86.9,88.5,200,135904128,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3360000,81.2,82.9,1,135904129,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3370000,75.8,77.4,0,135904130,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3375000,73.1,74.8,0,135904131,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3380000,70.5,72.1,0,135904132,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3390000,65.5,67.1,1,135904133,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3400000,60.6,62.2,0,135904134,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3410000,56,57.5,0,135904135,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3420000,51.5,53.1,0,135904136,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3425000,49.4,50.9,0,135904137,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3430000,47.3,48.8,3,135904138,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3440000,43.3,44.8,0,135904139,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3450000,39.6,41,0,135904140,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3460000,36,37.4,0,135904141,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3470000,32.7,34.1,0,135904142,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,C,3475000,31.1,32.5,180,135904143,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,3480000,29.6,31,0,135904144,1,CBOE S&P 500 INDEX,E
