 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
134592237    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      879.30     883.20         0    2455000
134227914    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200611    108105      874.10     878.00         0    2460000
134592238    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      869.20     873.00         0    2465000
134227915    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200731    108105      864.30     868.50         0    2470000
129372843    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      859.30     863.60         0    2475000
134227916    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200603    108105      854.30     858.60         0    2480000
134592239    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      849.40     853.60         0    2485000
134227917    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200630    108105      844.40     848.60         0    2490000
134592240    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      839.20     843.10         0    2495000
129372844    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      834.30     838.10         0    2500000
134592241    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      829.40     833.60         0    2505000
134227918    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200710    108105      824.40     828.70         0    2510000
134592242    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      819.40     823.70         0    2515000
134227919    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200702    108105      814.50     818.70         0    2520000
129372845    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200617    108105      809.50     813.40         0    2525000
134227920    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      804.40     808.20         2    2530000
134592243    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      799.50     803.70         0    2535000
134227921    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200619    108105      794.50     798.80         0    2540000
134592244    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      789.50     793.80         0    2545000
129372846    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200803    108105      784.60     788.80         0    2550000
134592245    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      779.40     783.30         0    2555000
134227922    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200604    108105      774.50     778.30         0    2560000
134592246    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      769.60     773.80         0    2565000
134227923    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200608    108105      764.60     768.90         0    2570000
129372847    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      759.70     763.90         0    2575000
134227924    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      754.50     758.40         0    2580000
134592247    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200624    108105      749.60     753.40         0    2585000
134227925    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200603    108105      744.70     748.90         0    2590000
134592248    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      739.70     744.00         0    2595000
129372848    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      734.80     738.60         0    2600000
134592249    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200702    108105      729.60     733.50         0    2605000
134227926    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200715    108105      724.80     729.00         0    2610000
134592250    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      719.80     724.10         0    2615000
134227927    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200721    108105      714.90     719.10         0    2620000
129372849    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      709.70     713.60         1    2625000
134227928    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200902    108105      704.90     709.10         0    2630000
134592251    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200806    108105      699.90     704.20         0    2635000
134227929    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200819    108105      695.00     699.20         0    2640000
134592252    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      689.80     693.70         0    2645000
129372850    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      685.00     689.20         0    2650000
134592253    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      680.00     684.30         0    2655000
134227930    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200603    108105      675.10     678.90         0    2660000
134592254    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      670.00     673.80         0    2665000
134227931    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      665.10     669.30         0    2670000
129372851    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200826    108105      660.20     664.40         0    2675000
134227932    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200518    108105      655.10     658.90         0    2680000
134592255    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200715    108105      650.20     654.40         0    2685000
134227933    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200603    108105      645.30     649.50         0    2690000
134592256    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      640.20     644.00         0    2695000
129372852    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      635.30     639.50         1    2700000
